"","(Intercept)","DemoCount","DeveloperCount","DLCCount","Metacritic","MovieCount","PackageCount","PublisherCount","ScreenshotCount","AchievementCount","AchievementHighlightedCount","ControllerSupport","IsFree","FreeVerAvail","PurchaseAvail","SubscriptionAvail","PlatformWindows","PlatformLinux","PlatformMac","PCReqsHaveMin","PCReqsHaveRec","LinuxReqsHaveMin","LinuxReqsHaveRec","MacReqsHaveMin","MacReqsHaveRec","CategorySinglePlayer","CategoryMultiplayer","CategoryCoop","CategoryMMO","CategoryInAppPurchase","CategoryIncludeSrcSDK","CategoryIncludeLevelEditor","CategoryVRSupport","GenreIsIndie","GenreIsAction","GenreIsAdventure","GenreIsCasual","GenreIsStrategy","GenreIsRPG","GenreIsSimulation","GenreIsEarlyAccess","GenreIsFreeToPlay","GenreIsSports","GenreIsRacing","GenreIsMassivelyMultiplayer","PriceInitial","PriceFinal","SupportEmail","SupportURL","AboutText","Background","ShortDescrip","DetailedDescrip","DRMNotice","ExtUserAcctNotice","LegalNotice","SupportedLanguages","Recommendations","Disapproval","Day","Month","Year","AgeRating","NoCategory"
"Estimate",269.889763135644,-0.0855921393308495,0.0538428306308468,0.00278888312507039,0.00653674412460246,0.043135740861895,0.143207837980681,0.0442373721261627,0.0030552657495015,0.000786725473718046,0.0139623361685512,0.012710479755313,0.367509653333968,0.376994034642456,-0.152655829196716,-0.497238381313264,0.349774070848703,0.0983341145633448,0.148821640156095,0.106428810726182,0.10520602714834,-0.00219966196197493,-0.103425157528271,-0.0577335878925948,-0.024579121522111,-0.15581352675361,0.0332591831623487,0.116204936167286,-0.236488560030445,-0.0683356310627071,0.501137463406224,0.0736652779016061,0.0605436751675463,0.061945278058554,0.0968559191777851,0.0443928063170217,-0.0249497604406356,0.0608054570679461,0.124139264063702,0.128863519738905,-0.135173659271656,0.703530768399719,-0.0376051927971653,0.0116899223308863,0.187073134602719,0.00343917714480766,0.00113279943553079,0.0297978461739709,-0.0513419612557966,0.493729423816536,0.0418042592129381,0.0929629635607535,-0.608579187642614,-0.046310264877788,-0.135521702981799,-0.0548847367395579,0.0248219549899858,2.52804222587553e-06,1.15131030810151e-05,-0.000365728965844818,-0.0164124410555945,-0.132440405713118,0.00724761603113947,-0.229874535219794
"Std. Error",11.6965485056213,0.027792564170641,0.0203870316974577,0.000836859244430125,0.000321836502650125,0.00760270195385875,0.0123827754857434,0.0306980515565139,0.00133858880017648,0.000207682953081693,0.00199682540468054,0.0210391703213513,0.0639674824328776,0.203983102421442,0.0472838004483121,0.234956097156427,0.64209711358718,0.0475673774591425,0.0499776463811241,0.203453991923656,0.0196290128773135,0.0491456122814487,0.0444091515241616,0.0509874275823834,0.0385475956085183,0.0434804435344169,0.0224792864983997,0.0299018862386798,0.0877060962701473,0.0713728893994778,0.166578873531879,0.0365309108700464,0.0600885147308311,0.0200428974176124,0.0179097273704266,0.0178810777029686,0.0187920251105207,0.020663206126232,0.0219679886673697,0.0224459190054541,0.0286975301442804,0.0655560664837413,0.0418829003824388,0.0433160935233596,0.0832155788300202,0.00194450984181245,0.00219606181983276,0.022754886243185,0.0175061903190105,0.42918473345782,0.302197271159376,0.0296714334841904,0.4611618591387,0.10185516311799,0.0772122335551042,0.0172912612277409,0.0019489089733385,3.12521619507454e-07,2.13265096788909e-06,0.000897703133306677,0.0025465642021484,0.00579246990336665,0.0468797662233299,0.140288150568647
