"DemoCount","DeveloperCount","DLCCount","Metacritic","MovieCount","PackageCount","PublisherCount","ScreenshotCount","SteamSpyOwners","SteamSpyPlayersEstimate","AchievementCount","AchievementHighlightedCount","ControllerSupport","IsFree","FreeVerAvail","PurchaseAvail","SubscriptionAvail","PlatformWindows","PlatformLinux","PlatformMac","PCReqsHaveMin","PCReqsHaveRec","LinuxReqsHaveMin","LinuxReqsHaveRec","MacReqsHaveMin","MacReqsHaveRec","CategorySinglePlayer","CategoryMultiplayer","CategoryCoop","CategoryMMO","CategoryInAppPurchase","CategoryIncludeSrcSDK","CategoryIncludeLevelEditor","CategoryVRSupport","GenreIsIndie","GenreIsAction","GenreIsAdventure","GenreIsCasual","GenreIsStrategy","GenreIsRPG","GenreIsSimulation","GenreIsEarlyAccess","GenreIsFreeToPlay","GenreIsSports","GenreIsRacing","GenreIsMassivelyMultiplayer","PriceInitial","PriceFinal","SupportEmail","SupportURL","AboutText","Background","ShortDescrip","DetailedDescrip","DRMNotice","ExtUserAcctNotice","LegalNotice","SupportedLanguages","Website","PCMinReqsText","PCRecReqsText","LinuxMinReqsText","LinuxRecReqsText","MacMinReqsText","MacRecReqsText","Recommendations","Disapproval","Reviews","Day","Month","Year","AgeRating","NoCategory"
0,1,0,0,0,1,1,5,6796273,388292,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,2828,979,3807,1,5,2006,4,0
0,1,1,87,5,2,1,5,6298399,2478611,13,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99,1,1,0,0,0,0,1,1,1,24,0,0,1,1,1,0,1,26090,1151,27241,1,6,2006,4,0
1,1,1,90,1,2,1,11,9795716,6864247,15,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,23,0,0,1,1,1,0,1,141863,2152,144015,10,10,2007,4,0
0,1,1,90,7,2,1,5,5735062,2240435,22,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99,1,1,0,0,0,0,1,1,1,23,0,0,1,1,1,0,1,35588,1071,36659,10,10,2007,4,0
0,1,0,92,16,1,1,11,37878812,37878812,520,10,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,32,0,0,0,0,1,0,1,950529,61392,1011921,10,10,2007,4,0
0,1,0,89,6,2,1,12,4473517,3107949,73,10,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,1,0,0,0,1,0,1,1,1,23,0,0,0,1,1,0,1,49951,1923,51874,17,11,2008,4,0
0,1,0,89,3,1,1,17,15574539,13583400,70,10,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,1,0,0,0,1,0,1,1,1,25,0,0,0,0,1,0,1,783580,19644,803224,16,11,2009,4,0
0,1,0,90,4,0,1,16,90687580,90687580,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,32,0,0,1,0,1,0,1,1744746,379304,2124050,9,7,2013,4,0
0,1,1,95,17,3,1,12,8741499,7282849,51,10,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99,19.99,1,0,0,0,0,0,1,1,1,28,0,0,1,0,1,0,1,363718,4636,368354,18,4,2011,4,0
0,1,0,77,2,0,1,10,4819841,4819841,66,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,19701,1064,20765,19,7,2010,4,0
